User_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Purchase
1000001,F,15,10,A,2,0,837
1000002,M,69,16,C,4+,0,797
1000003,M,34,15,A,3,0,719
1000005,M,27,20,A,1,1,787
1000006,F,51,9,A,1,0,538
1000007,M,37,1,B,1,1,738
1000008,M,34,12,C,4+,1,858
1000009,M,30,17,C,0,0,589
1000010,F,44,1,B,4+,1,889
1000011,F,30,1,C,1,0,617
1000012,M,30,12,C,2,0,687
1000013,M,47,1,C,3,1,584
1000014,M,37,0,C,0,0,585
1000015,M,33,7,A,1,0,596
1000016,F,43,0,C,0,1,870
1000017,M,52,1,C,0,0,861
1000018,F,23,3,B,3,0,703
1000019,M,15,10,A,3,0,775
1000020,M,29,14,A,0,0,704
1000021,M,22,16,B,0,0,814
1000022,M,22,15,A,4+,0,880
1000023,M,42,0,B,3,1,848
1000024,F,35,7,A,3,1,694
1000025,M,20,4,C,4+,0,541
1000026,M,33,7,B,2,1,528
1000027,M,34,11,C,1,1,870
1000028,F,32,1,C,2,1,690
1000029,M,37,7,C,1,0,796
1000030,F,45,7,C,3,0,974
1000031,M,62,7,C,2,0,860
1000032,F,26,0,C,3,1,713
1000033,M,50,3,A,1,1,607
1000034,F,20,0,A,0,0,700
1000035,M,49,1,C,4+,1,611
1000036,M,29,3,B,0,0,807
1000037,F,28,9,C,1,0,803
1000039,M,22,4,B,2,0,620
1000041,F,21,4,C,3,0,592
1000042,M,35,8,C,0,1,603
1000043,M,27,12,A,0,0,688
1000044,M,49,17,B,3,1,718
1000045,F,50,16,A,1,1,695
1000046,M,24,19,C,4+,0,761
1000047,M,25,4,C,4+,1,804
1000048,M,35,4,B,3,1,590
1000049,M,25,12,C,4+,1,988
1000050,F,33,2,A,1,1,588
1000051,F,15,10,C,2,0,527
1000052,M,24,4,C,0,0,816
1000053,M,33,0,B,1,0,864
1000054,M,55,1,C,4+,1,620
1000055,F,42,12,B,1,0,812
1000056,M,45,20,C,0,1,598
1000057,M,23,19,C,2,0,786
1000058,M,28,2,B,3,0,994
1000059,F,51,1,B,4+,1,590
1000060,M,55,1,C,1,1,669
1000061,M,33,17,C,1,0,697
1000062,F,43,3,A,1,0,984
1000063,M,21,4,C,2,0,588
1000064,M,18,1,A,1,1,779
1000065,M,37,12,C,2,1,989
1000066,M,26,18,C,2,0,865
1000067,F,55,5,C,4+,1,809
1000068,M,21,4,A,0,0,994
1000069,F,26,1,A,1,0,797
1000070,M,23,4,A,2,0,708
1000071,M,32,14,A,0,1,791
1000072,F,47,0,B,1,1,797
1000073,M,21,4,A,4+,0,780
1000074,M,40,14,A,2,1,528
1000075,F,15,10,C,4+,0,535
1000076,M,39,7,B,2,1,791
1000077,M,20,4,C,2,0,691
1000078,F,50,1,C,0,1,685
1000079,F,49,0,A,1,0,796
1000080,M,70,1,C,3,1,979
1000081,F,35,0,A,1,1,863
1000082,M,26,17,C,2,1,816
1000083,F,28,2,C,1,0,878
1000084,M,21,4,C,1,0,532
1000085,M,25,4,C,1,0,599
1000086,F,17,10,C,3,0,981
1000087,M,32,14,C,2,0,992
1000088,F,46,1,C,1,1,781
1000089,F,72,9,C,1,1,880
1000090,M,66,13,C,1,0,612
1000091,M,44,7,C,3,1,601
1000092,F,20,4,B,1,0,788
1000093,M,30,17,B,1,1,704
1000094,M,31,17,C,1,0,599
1000095,M,47,0,C,4+,1,786
1000096,F,28,16,C,2,1,719
1000097,F,38,3,C,3,0,798
1000098,F,39,7,C,2,1,858
1000099,F,15,10,C,1,0,594
1000100,M,38,17,C,4+,0,782
1000101,F,22,3,A,1,0,865
1000102,M,44,19,C,3,0,994
1000103,M,46,7,B,2,1,662
1000104,M,31,12,C,3,1,967
1000105,M,49,12,C,1,1,607
1000106,F,36,11,C,4+,0,865
1000107,M,48,18,C,4+,0,975
1000108,M,31,12,C,3,0,598
1000109,M,49,15,C,1,1,686
1000110,M,30,2,B,4+,0,692
1000111,M,40,15,C,3,0,515
1000112,M,32,16,C,3,1,827
1000113,M,18,12,C,2,0,990
1000114,F,31,2,C,0,0,805
1000116,M,26,17,C,2,1,816
1000117,M,30,17,A,2,1,834
1000118,M,39,17,C,4+,0,808
1000119,F,17,10,C,1,0,528
1000120,M,33,11,C,0,0,784
1000121,M,40,7,C,2,0,756
1000122,F,21,4,C,1,0,810
1000123,M,42,9,B,4+,1,531
1000124,M,59,7,C,1,1,803
1000125,M,49,14,B,3,1,616
1000126,M,18,9,B,1,0,989
1000127,F,48,3,C,1,1,589
1000128,M,57,6,A,1,1,863
1000129,M,28,11,C,2,0,530
1000130,M,43,17,B,3,1,713
1000131,M,22,4,C,4+,0,689
1000132,M,32,17,C,1,0,871
1000133,F,34,0,C,1,1,695
1000134,M,35,0,C,3,1,880
1000135,M,19,4,C,1,1,803
1000136,M,20,2,B,3,0,885
1000137,F,50,6,C,4+,1,813
1000138,M,20,20,C,1,1,867
1000139,F,28,20,C,2,0,777
1000140,F,39,1,B,3,0,693
1000141,M,41,13,C,1,1,838
1000142,M,26,7,A,2,0,527
1000143,M,20,3,C,0,0,717
1000144,M,33,17,C,1,1,814
1000145,M,22,4,C,4+,0,595
1000146,F,42,20,B,3,1,525
1000147,M,23,4,B,4+,0,759
1000148,M,52,17,B,3,1,829
1000149,M,33,1,B,2,1,527
1000150,M,44,7,B,0,1,587
1000151,F,28,20,A,1,1,701
1000152,M,22,4,A,3,0,874
1000153,M,15,10,C,0,0,859
1000154,M,54,20,A,4+,1,782
1000155,M,42,12,C,4+,1,697
1000156,F,47,7,C,4+,1,987
1000157,M,45,16,A,1,0,776
1000158,M,64,7,C,2,1,970
1000159,F,46,0,A,1,1,803
1000160,M,36,7,C,3,0,588
1000161,M,48,16,C,4+,1,811
1000162,F,23,4,C,4+,0,571
1000163,M,18,4,A,1,0,831
1000164,F,55,13,C,1,0,874
1000165,M,23,16,A,1,0,687
1000166,M,25,4,B,1,1,779
1000167,F,34,11,B,4+,0,717
1000168,F,51,0,C,0,1,860
1000169,M,31,7,B,3,0,800
1000170,M,34,11,C,1,1,542
1000171,F,51,17,B,1,1,603
1000172,M,34,3,C,2,0,831
1000173,M,34,0,B,1,1,996
1000174,M,26,16,C,2,0,683
1000175,F,30,2,B,1,0,981
1000176,F,21,3,C,1,0,520
1000177,M,53,1,B,3,1,983
1000178,M,71,17,A,2,1,790
1000179,M,28,0,A,1,0,615
1000180,M,47,12,C,4+,0,609
1000181,M,18,17,C,1,0,982
1000182,M,23,4,C,0,0,858
1000183,F,48,1,B,1,1,994
1000184,F,33,0,C,4+,1,795
1000185,M,46,0,C,0,0,820
1000186,M,18,5,C,0,0,815
1000187,F,46,1,B,1,0,813
1000188,M,59,16,C,2,0,802
1000189,M,23,0,B,2,0,784
1000190,M,33,17,A,1,0,860
1000191,M,25,4,C,1,1,886
1000192,M,25,1,B,2,0,673
1000193,F,49,15,C,1,1,531
1000194,F,15,10,C,3,0,810
1000195,M,31,12,B,4+,1,976
1000196,F,44,9,C,4+,0,807
1000197,M,25,14,A,3,0,704
1000198,M,29,12,A,0,1,857
1000199,M,18,4,B,1,0,613
1000200,F,20,4,C,0,0,521
1000201,F,44,2,A,1,0,989
1000202,M,22,4,A,3,0,701
1000203,F,23,4,B,1,1,689
1000204,M,35,7,B,1,1,878
1000205,M,43,12,A,1,0,862
1000206,M,26,17,C,1,0,585
1000207,M,26,12,B,1,1,610
1000208,M,42,17,C,1,1,885
1000209,M,37,1,B,4+,0,785
1000210,F,15,10,C,0,0,758
1000211,M,47,17,C,1,1,602
1000212,M,30,16,C,3,0,712
1000213,F,20,4,C,1,0,802
1000214,M,25,20,C,1,0,690
1000215,M,42,14,C,1,1,886
1000216,M,46,13,B,1,0,878
1000217,M,25,4,A,1,0,697
1000218,M,37,14,C,3,1,589
1000219,F,35,4,A,0,0,529
1000220,M,34,12,A,3,0,706
1000221,F,35,0,B,2,1,596
1000222,M,26,1,A,1,0,694
1000223,M,28,17,B,4+,0,707
1000225,M,31,7,A,0,0,517
1000226,M,43,1,C,1,0,769
1000227,M,40,20,B,0,0,709
1000228,M,33,15,A,1,0,812
1000229,M,21,10,C,1,0,811
1000230,M,47,1,C,1,0,699
1000231,M,35,3,A,1,0,879
1000232,M,35,20,A,1,1,713
1000233,F,49,20,C,2,1,991
1000234,M,43,7,C,2,0,793
1000235,M,27,0,B,0,0,869
1000236,M,33,5,B,2,0,992
1000237,M,34,6,C,1,1,876
1000238,F,51,7,B,0,0,993
1000239,M,22,19,A,1,0,997
1000240,M,54,17,A,1,1,716
1000241,M,40,20,C,1,1,535
1000242,F,20,4,A,3,0,545
1000243,M,29,16,C,1,0,690
1000244,M,52,7,B,3,1,799
1000245,M,37,16,B,0,0,588
1000246,F,24,4,C,1,0,873
1000247,M,26,17,B,1,0,584
1000248,M,25,17,B,1,1,545
1000249,F,20,14,C,2,0,867
1000250,M,41,16,C,1,0,997
1000251,M,61,17,A,0,1,715
1000252,M,26,12,C,3,0,772
1000253,F,34,11,C,1,0,592
1000254,M,37,17,C,4+,0,698
1000255,M,40,0,C,1,1,602
1000256,M,46,16,C,3,0,805
1000257,M,21,18,A,1,0,864
1000258,M,30,7,C,0,1,523
1000259,M,32,1,B,4+,0,792
1000260,M,25,19,C,1,0,834
1000261,M,29,20,A,4+,0,998
1000262,F,32,1,C,1,0,989
1000263,F,33,7,C,1,0,816
1000264,M,37,0,B,1,1,590
1000265,F,38,7,A,4+,1,978
1000266,M,44,11,C,3,0,871
1000267,M,46,12,C,1,1,998
1000268,F,23,12,C,1,0,525
1000269,M,33,2,A,1,1,698
1000270,M,52,14,B,2,1,584
1000271,M,22,4,C,1,0,692
1000272,M,24,0,A,1,0,541
1000273,M,20,4,B,2,1,879
1000274,M,20,4,A,4+,0,887
1000275,M,31,0,C,3,1,758
1000276,M,47,16,C,4+,0,611
1000277,F,44,1,C,2,0,711
1000278,M,49,18,C,4+,1,753
1000279,M,26,14,C,3,0,804
1000280,M,53,7,C,0,1,516
1000281,F,44,0,A,2,0,520
1000282,M,27,17,C,4+,1,784
1000283,M,33,0,B,1,0,872
1000284,M,30,12,B,3,1,711
1000285,F,38,0,A,1,0,866
1000286,M,32,1,C,3,0,686
1000287,M,55,13,B,1,1,788
1000289,F,31,0,C,1,0,522
1000290,F,29,20,C,4+,0,686
1000291,M,45,12,B,2,0,789
1000292,M,36,7,C,0,1,610
1000293,M,75,1,C,1,1,980
1000294,F,46,9,C,3,1,689
1000295,M,20,0,C,4+,0,763
1000296,M,52,5,C,4+,1,764
1000297,M,24,2,C,3,1,872
1000298,F,25,4,C,2,0,780
1000299,M,30,12,C,4+,0,970
1000300,M,27,7,B,4+,1,866
1000301,M,19,4,B,4+,0,541
1000302,M,25,4,B,4+,0,775
1000303,M,30,7,C,1,1,976
1000304,M,31,0,B,1,0,954
1000305,F,22,0,B,3,1,607
1000306,M,24,0,C,3,0,830
1000307,M,55,16,B,0,1,985
1000308,M,35,2,A,3,1,792
1000309,M,31,4,B,1,0,824
1000310,F,23,4,C,1,0,804
1000311,M,19,4,C,3,1,781
1000312,F,53,2,B,0,0,619
1000313,F,21,4,A,4+,0,887
1000314,F,70,9,C,1,0,981
1000315,F,68,1,A,3,1,804
1000316,M,55,13,C,1,0,691
1000317,M,41,7,C,3,0,808
1000318,F,73,13,A,1,1,718
1000319,F,55,6,B,3,1,970
1000320,M,40,6,C,4+,0,786
1000321,M,24,4,B,3,0,807
1000322,M,75,17,A,3,1,998
1000323,M,50,12,C,1,0,878
1000324,M,41,17,B,0,1,807
1000325,F,52,3,A,1,0,698
1000326,M,53,11,B,1,1,705
1000327,M,36,18,C,4+,0,787
1000328,M,38,12,C,2,0,771
1000329,M,44,7,A,1,0,589
1000330,M,60,7,C,2,0,809
1000331,M,35,7,B,1,0,687
1000332,M,52,1,C,3,1,994
1000333,M,36,2,A,0,1,871
1000334,F,56,2,A,3,1,793
1000335,M,42,18,C,0,1,996
1000336,M,22,0,C,4+,0,604
1000337,M,18,19,C,0,0,794
1000338,M,39,7,A,1,0,805
1000339,M,52,7,C,1,1,973
1000340,F,29,3,C,1,1,554
1000341,F,67,13,C,2,1,778
1000342,M,20,12,C,4+,0,995
1000343,F,45,3,B,2,0,531
1000344,M,44,14,C,1,1,525
1000345,M,30,12,A,2,1,859
1000346,F,26,0,B,2,0,869
1000347,F,56,1,A,1,0,687
1000348,M,52,7,B,2,1,812
1000349,M,15,10,C,0,0,856
1000350,M,48,20,C,3,0,593
1000351,M,22,4,A,4+,0,699
1000352,M,19,4,A,0,0,888
1000353,F,36,7,C,1,1,792
1000354,M,36,1,A,1,0,973
1000355,M,25,3,B,2,0,719
1000356,M,61,20,C,0,1,755
1000357,M,21,0,A,4+,0,784
1000359,M,31,17,B,1,0,696
1000360,M,42,17,C,1,0,783
1000361,F,33,14,B,3,0,805
1000362,M,38,20,B,1,0,791
1000363,M,18,10,B,1,1,890
1000364,F,44,1,C,3,0,784
1000365,F,18,4,A,1,0,705
1000366,M,52,15,B,1,1,857
1000368,M,35,0,C,1,0,697
1000369,M,44,1,B,2,0,873
1000370,M,19,17,C,3,0,596
1000371,M,18,4,B,4+,0,536
1000372,F,19,4,C,2,0,983
1000373,F,27,2,C,1,1,978
1000374,F,36,14,C,0,0,690
1000375,M,29,2,B,1,0,811
1000376,M,37,1,C,4+,1,994
1000377,M,35,17,B,2,0,514
1000378,F,20,0,A,1,1,617
1000379,F,42,1,C,4+,0,542
1000380,M,34,2,C,1,0,548
1000381,M,44,17,C,2,0,591
1000382,F,45,20,B,0,1,859
1000383,F,29,7,A,4+,1,700
1000384,M,27,11,B,3,1,646
1000385,M,30,6,C,1,0,780
1000386,M,32,0,A,1,1,988
1000387,F,43,7,C,0,0,884
1000388,F,35,0,B,3,1,697
1000389,M,35,6,C,0,0,970
1000390,M,32,4,A,0,0,759
1000391,M,50,11,C,2,1,858
1000392,M,21,7,A,0,0,537
1000393,M,41,17,C,4+,0,810
1000394,M,23,0,C,1,0,827
1000395,M,25,5,A,0,0,879
1000396,M,27,1,C,1,0,533
1000397,M,44,17,B,2,0,527
1000398,M,28,17,B,3,1,865
1000399,F,36,6,B,1,1,703
1000400,F,24,3,C,2,1,704
1000401,M,20,0,B,3,0,706
1000402,M,32,11,B,1,1,796
1000403,M,19,4,A,2,0,858
1000404,M,20,4,B,1,0,704
1000405,M,62,1,C,2,0,715
1000406,M,30,20,A,3,0,790
1000407,M,22,17,C,1,0,870
1000408,M,31,11,A,0,0,884
1000409,M,22,12,B,4+,0,860
1000410,F,29,1,B,4+,0,708
1000411,F,50,1,B,0,1,995
1000412,M,41,15,A,1,1,617
1000413,M,30,11,C,0,0,990
1000414,M,29,0,C,4+,0,979
1000415,F,36,0,A,2,1,703
1000416,M,47,14,C,3,1,857
1000417,F,33,0,C,0,1,809
1000418,F,28,3,B,0,1,619
1000419,M,21,3,C,1,0,783
1000420,M,39,1,A,1,0,878
1000421,F,47,3,A,1,1,880
1000422,M,74,17,A,4+,0,600
1000423,M,24,4,A,1,0,531
1000424,M,27,17,A,3,0,993
1000425,M,29,12,B,1,1,888
